p,phat,new_p,new_phat,phat_mc,new_p_mc,new_phat_mc,phat_de,new_p_de,new_phat_de,phat_bs,new_p_bs,new_phat_bs
1e-10,0.0,0.0005005024713213212,0.0,0.0,2.5590590589031533e-10,0.0,0.0,3.078745411870871e-10,0.0,0.0,1.0319806986441672e-10,0.0
0.001001001100900901,0.00012774655084312725,0.015251488445434424,0.0015329586101175269,0.0015329586101175269,0.002031561268291916,0.00300204394481349,6.387327542156362e-05,0.0016488963678256236,6.387327542156362e-05,0.008878385283597343,3.201281455039136e-05,0.0002554931016862545
0.002002002101801802,0.00012774655084312725,0.021966913199355315,0.002363311190597854,0.00300204394481349,0.002811871107504752,0.004087889626980072,0.00012774655084312725,0.004608963883992475,0.00019161982626469086,0.016543178334184977,6.402552590271286e-05,0.0005748594787940726
0.003003003102702703,0.0003832396525293817,0.02838273749948297,0.002874297393970363,0.004535002554931017,0.0043460880534868795,0.0075370464997445066,0.00012774655084312725,0.008071135229079532,0.0006387327542156362,0.024655084312723556,9.603823725503435e-05,0.0008942258559018906
0.004004004103603603,0.0004471129279509453,0.03324195122188886,0.0033852835973428716,0.006898313745528871,0.005987636257376028,0.010155850792028616,0.00012774655084312725,0.010992641261880534,0.001021972406745018,0.033277976494634647,0.00012805094860735583,0.0012135922330097086
0.005005005104504504,0.000510986203372509,0.04122240430114609,0.004279509453244763,0.008559018906489526,0.007037234300341165,0.012072049054675524,0.00019161982626469086,0.01289878523464335,0.0010858456821665815,0.041773122125702604,0.00016006365995967732,0.0015329586101175269
0.006006006105405405,0.0006387327542156362,0.046254964077694666,0.0048543689320388345,0.010155850792028616,0.008077647419291614,0.01341338783852836,0.0003832396525293817,0.0178526888603282,0.0014052120592743995,0.050204394481349,0.00019207637131199882,0.001660705160960654
0.007007007106306307,0.0006387327542156362,0.054535016519403796,0.005748594787940726,0.01200817577925396,0.009118060538242063,0.01449923352069494,0.000510986203372509,0.02090545697888653,0.0015968318855390904,0.05825242718446602,0.00022408908266432034,0.001980071538068472
0.008008008107207207,0.0007664793050587634,0.06232224934828956,0.006642820643842616,0.013349514563106795,0.010232705431284262,0.01590444557996934,0.0006387327542156362,0.023653617217388026,0.001852324987225345,0.0663643331630046,0.0002561017940166418,0.0022355646397547264
0.009009009108108108,0.000830352580480327,0.0686948216582091,0.007345426673479816,0.014371486969851814,0.011793325109709936,0.018650996423096575,0.0007026060296371997,0.026051276722722904,0.0021078180889115995,0.07562595809913132,0.00028811450536896327,0.0024271844660194173
0.010010010109009008,0.0008942258559018906,0.07575693852041536,0.008175779253960144,0.01571282575370465,0.01388635905339137,0.02210015329586101,0.000830352580480327,0.02748160269288952,0.002171691364333163,0.08367399080224834,0.00032012721672128476,0.002618804292284108
0.01101101110990991,0.0008942258559018906,0.08353248198459375,0.009070005109862033,0.017054164537557485,0.01566531521723696,0.02484670413898825,0.001021972406745018,0.028603428427312175,0.002363311190597854,0.0921691364333163,0.0003521399280736063,0.0029381706693919264
0.012012012110810811,0.001021972406745018,0.09196809477324915,0.009964230965763925,0.01890648952478283,0.017225934895662633,0.026762902401635157,0.0010858456821665815,0.029738447406923895,0.0024271844660194173,0.10015329586101175,0.00038415263942592775,0.003321410321921308
0.013013013111711711,0.0012774655084312723,0.09766874051662348,0.010475217169136432,0.020694941236586613,0.019036804824313528,0.029381706693919263,0.0010858456821665815,0.030755194103211335,0.002491057741440981,0.10890393459376597,0.00041616535077824925,0.0037685232498722533
0.014014014112612614,0.001341338783852836,0.10167850557571217,0.011369443025038324,0.02222789984670414,0.020789892630979596,0.03174501788451712,0.0011497189575881452,0.03189335503606524,0.002618804292284108,0.11829330608073582,0.0004481780621305708,0.004087889626980072
0.015015015113513514,0.0015329586101175269,0.1076511954417766,0.011880429228410833,0.024080224833929485,0.022870718868880494,0.035002554931016866,0.0011497189575881452,0.03322616928551487,0.002682677567705672,0.12742718446601942,0.0004801907734828923,0.004343382728666326
0.016016016114414416,0.0017245784363822177,0.11389367415547934,0.012646908533469597,0.02542156361778232,0.02446941461026623,0.03794072560040879,0.0012135922330097086,0.03400647912472771,0.002810424118548799,0.1360500766479305,0.0005122034848352139,0.00440725600408789
0.01701701711531532,0.0017884517118037812,0.11862262687202524,0.013285641287685232,0.026379662749105776,0.025829032455458027,0.04011241696474195,0.0012774655084312723,0.03478678896394055,0.002810424118548799,0.14626980071538068,0.0005442161961875354,0.004726622381195708
0.018018018116216217,0.0019161982626469086,0.12087162266516577,0.013732754215636177,0.027784874808380173,0.02709015346666712,0.041964741951967297,0.0014052120592743995,0.03574445336036067,0.00300204394481349,0.15489269289729177,0.0005762289075398569,0.005109862033725089
0.01901901911711712,0.0019161982626469086,0.12562178490546907,0.01430761369443025,0.0293178334184977,0.028383882422292412,0.044583546244251405,0.0014052120592743995,0.036381650138684135,0.0030659172202350538,0.16389882473173226,0.0006082416188921783,0.00530148185998978
0.02002002011801802,0.002043944813490036,0.12799035310784776,0.014563106796116505,0.030403679100664282,0.02937431948349946,0.045988758303525806,0.0015968318855390904,0.036861840808968954,0.0030659172202350538,0.17424629535002556,0.0006402543302444998,0.005429228410832907
0.02102102111891892,0.0021078180889115995,0.1321125934656,0.014882473173224322,0.03206438426162494,0.030622815226239997,0.04790495656617271,0.0015968318855390904,0.037477584521885085,0.0031297904956566172,0.1840189064895248,0.0006722670415968213,0.005748594787940726
