p,phat_mc,new_p_mc,new_phat_mc,phat_de,new_p_de,new_phat_de,phat_bs,new_p_bs,new_phat_bs
1e-10,0.0,1.7869045515317435e-10,0.0,0.0,1.955526955431403e-10,0.0,0.0,1.7869045515317435e-10,0.0
0.001001001100900901,0.0004767296347059174,0.0007876924223872051,0.00035754722602943806,0.00029795602169119836,0.0009564836343273204,0.00029795602169119836,0.0002383648173529587,0.0007876924223872051,0.00017877361301471903
0.002002002101801802,0.0010130504737500745,0.001977453161712092,0.0010130504737500745,0.00041713843036767775,0.001983118301732795,0.00041713843036767775,0.0005959120433823967,0.0016112836389078958,0.00041713843036767775
0.003003003102702703,0.0019069185388236696,0.003136394835955062,0.001966509743161909,0.0007150944520588761,0.003240143961818008,0.0007746856563971158,0.0010130504737500745,0.0023777532984619204,0.0008342768607353555
0.004004004103603603,0.0026816041952207855,0.003973317844882858,0.0026816041952207855,0.0008938680650735951,0.004438405894721895,0.0009534592694118348,0.0014301889041177522,0.0031109332357219795,0.0011918240867647934
0.005005005104504504,0.0030391514212502234,0.004618279722808975,0.0029795602169119836,0.001072641678088314,0.005276770659843704,0.001072641678088314,0.00184732733448543,0.004042603059799343,0.0014301889041177522
0.006006006105405405,0.00363506346463262,0.005297757056017762,0.0032179250342649424,0.0012514152911030333,0.006024901114172129,0.0012514152911030333,0.002145283356176628,0.00462481037035781,0.001668553721470711
0.007007007106306307,0.003933019486323818,0.006046148933772104,0.00363506346463262,0.0014301889041177522,0.006981384552946755,0.0014301889041177522,0.0022644657648531077,0.00533688290860956,0.002026100947500149
0.008008008107207207,0.0043501579166914965,0.006883071942699901,0.003873428281985579,0.001668553721470711,0.008394473060176731,0.0017281449258089506,0.0026816041952207855,0.006293366347384185,0.002204874560514868
0.009009009108108108,0.004886478755735653,0.00755023594083689,0.0041713843036767775,0.0017281449258089506,0.009279099084094949,0.0017281449258089506,0.0029795602169119836,0.007154824389694787,0.0023240569691913475
0.010010010109009008,0.005303617186103331,0.008244105147773961,0.004469340325367976,0.00184732733448543,0.009948637491237186,0.00184732733448543,0.003158333829926703,0.007737031700253254,0.0026220129908825457
0.01101101110990991,0.0056611644121327695,0.009113764087880692,0.004886478755735653,0.002145283356176628,0.010538849925852849,0.001966509743161909,0.0033966986472796614,0.008283327752703509,0.0027411953995590253
0.012012012110810811,0.006257076455515166,0.010230763978411087,0.005303617186103331,0.0022644657648531077,0.01122193285237094,0.002145283356176628,0.0033966986472796614,0.008798357296659075,0.0029199690125737443
0.013013013111711711,0.006674214885882844,0.011075783541257309,0.0056611644121327695,0.0027411953995590253,0.012337830197608002,0.002562421786544306,0.00363506346463262,0.009474527993118102,0.0029795602169119836
0.014014014112612614,0.00727012692926524,0.012037791035274059,0.006257076455515166,0.0030987426255884632,0.013453727542845064,0.0028007866038972646,0.0039926106906620585,0.01019642629043072,0.003158333829926703
0.015015015113513514,0.007806447768309397,0.013393488154858937,0.006852988498897563,0.003277516238603182,0.014680747043176031,0.0030987426255884632,0.0041713843036767775,0.010778633600989187,0.003337107442941422
0.016016016114414416,0.008342768607353555,0.014516630025866449,0.007627674155294678,0.003456289851617901,0.015543861820854038,0.003277516238603182,0.004588522734044455,0.011629940758961304,0.0033966986472796614
0.01701701711531532,0.008640724629044753,0.015225483521380066,0.007925630176985877,0.003813837077647339,0.01638433582818088,0.003456289851617901,0.004886478755735653,0.012363005467844192,0.003456289851617901
0.018018018116216217,0.009415410285441869,0.015863139147229813,0.008283177403015315,0.004111793099338537,0.01735811080338776,0.003873428281985579,0.005244025981765091,0.012920954140462721,0.0035754722602943803
0.01901901911711712,0.009832548715809547,0.016581591216190426,0.008581133424706512,0.0043501579166914965,0.01814580304708451,0.004111793099338537,0.00542279959477981,0.014024660476547561,0.0039926106906620585
0.02002002011801802,0.010607234372206661,0.01730928563945198,0.008938680650735952,0.004648113938382695,0.018933495290781255,0.0043501579166914965,0.0054823907991180506,0.014861583485475354,0.0041713843036767775
0.02102102111891892,0.011322328824265539,0.018014062910128022,0.009415410285441869,0.005065252368750372,0.020013757708378373,0.004648113938382695,0.005899529229485728,0.015622563007637636,0.0043501579166914965
0.022022022119819823,0.012156605685000894,0.019683529410004723,0.010428460759191942,0.005363208390441571,0.020803291837263257,0.005005661164412133,0.006078302842500447,0.016249668418890816,0.004707705142720934
0.02302302312072072,0.01287170013705977,0.02117387224141813,0.011381920028603778,0.00554198200345629,0.021828468648477126,0.005244025981765091,0.006435850068529885,0.01674562279455173,0.004886478755735653
0.024024024121621624,0.013527203384780407,0.022312102082707404,0.012216196889339134,0.0058399380251474885,0.02281260258315785,0.00554198200345629,0.006793397294559323,0.01745009722118874,0.004946069960073893
0.025025025122522526,0.013944341815148083,0.023225250980171207,0.013110064954412729,0.0060187116381622075,0.02345822647976091,0.005720755616471009,0.007031762111912282,0.01824467960006872,0.005303617186103331
0.026026026123423425,0.014301889041177521,0.024012943223867957,0.013527203384780407,0.006137894046838686,0.024016175152379443,0.0058399380251474885,0.007210535724927001,0.01880262827268725,0.005363208390441571
0.027027027124324327,0.01459984506286872,0.024904183647023785,0.013944341815148083,0.006376258864191645,0.025374473778599554,0.006078302842500447,0.007806447768309397,0.0194504605843028,0.0054823907991180506
0.02802802812522523,0.014957392288898159,0.025915651738704346,0.014242297836839283,0.006555032477206364,0.02639750212375398,0.0061974852511769265,0.008104403790000596,0.020155237854978837,0.00554198200345629
