p,phat_mc,new_p_mc,new_phat_mc,phat_de,new_p_de,new_phat_de,phat_bs,new_p_bs,new_phat_bs
1e-10,0.0,4.1181181178063065e-10,0.0,0.0,3.078745411870871e-10,0.0,0.0,1.7795295294515765e-10,0.0
0.001001001100900901,6.387327542156362e-05,0.003121239768663158,0.00019161982626469086,0.0003193663771078181,0.0018108701845568043,0.0003832396525293817,0.0003832396525293817,0.0007803100171657895,0.0002554931016862545
0.002002002101801802,0.00012774655084312725,0.0053912216648290484,0.0002554931016862545,0.0003832396525293817,0.0038279857833760354,0.0007026060296371997,0.0007026060296371997,0.001498439994658879,0.0003832396525293817
0.003003003102702703,0.00019161982626469086,0.006242479021577233,0.0002554931016862545,0.0006387327542156362,0.006861215980113598,0.0009580991313234543,0.0014052120592743995,0.002287072060037866,0.0008942258559018906
0.004004004103603603,0.00019161982626469086,0.008981454336064043,0.0003193663771078181,0.0007026060296371997,0.00932430626037903,0.0011497189575881452,0.0022355646397547264,0.003327485178988314,0.0015968318855390904
0.005005005104504504,0.00019161982626469086,0.013899786235544252,0.0005748594787940726,0.000830352580480327,0.011179920276354203,0.0012774655084312723,0.002810424118548799,0.004367898297938762,0.002363311190597854
0.006006006105405405,0.0002554931016862545,0.018122477084342826,0.0007664793050587634,0.0008942258559018906,0.012116471078937421,0.0014052120592743995,0.0031936637710781807,0.005811617729273919,0.0031297904956566172
0.007007007106306307,0.0002554931016862545,0.020847674908870333,0.0010858456821665815,0.0009580991313234543,0.01414487582877336,0.0015968318855390904,0.0036407766990291263,0.006814479474735153,0.003513030148185999
0.008008008107207207,0.0002554931016862545,0.023338320169054374,0.0010858456821665815,0.001021972406745018,0.015487960686013992,0.002043944813490036,0.003960143076136944,0.007822804655090408,0.0038962698007153807
0.009009009108108108,0.0003193663771078181,0.025151278119019918,0.0012135922330097086,0.0011497189575881452,0.01684206751443462,0.0022355646397547264,0.004215636177823199,0.009020486653244234,0.004215636177823199
0.010010010109009008,0.0003193663771078181,0.029817271694991623,0.0015329586101175269,0.0012135922330097086,0.018108699542414886,0.002491057741440981,0.004535002554931017,0.009587984718126297,0.004279509453244763
0.01101101110990991,0.0004471129279509453,0.03233163133537482,0.001852324987225345,0.0012135922330097086,0.019669319220840562,0.0027465508431272355,0.005365355135411344,0.010210035035758118,0.0047904956566172715
0.012012012110810811,0.0004471129279509453,0.03598092617259522,0.0022994379151762903,0.0014052120592743995,0.021371822555425787,0.002874297393970363,0.005812468063362289,0.010990344874970954,0.00530148185998978
0.013013013111711711,0.000510986203372509,0.037549394771914726,0.002363311190597854,0.0015329586101175269,0.022531415473868478,0.0032575370464997446,0.006323454266734798,0.0124266410769283,0.006067961165048544
0.014014014112612614,0.0005748594787940726,0.039141577647496116,0.002491057741440981,0.0015968318855390904,0.023407959377201512,0.003513030148185999,0.006770567194685743,0.013485958617395374,0.006451200817577925
0.015015015113513514,0.0006387327542156362,0.041556070885697315,0.002618804292284108,0.001852324987225345,0.02516104718386758,0.00370464997445069,0.007153806847215125,0.014268623137330814,0.006898313745528871
0.016016016114414416,0.0006387327542156362,0.044128964354447325,0.002874297393970363,0.0021078180889115995,0.02780758807800185,0.004151762902401635,0.007728666326009197,0.014892871008701085,0.007153806847215125
0.01701701711531532,0.0006387327542156362,0.04755556397332975,0.00300204394481349,0.0022994379151762903,0.0310363753482859,0.004471129279509453,0.008175779253960144,0.016117719480611897,0.007792539601430761
0.018018018116216217,0.0007664793050587634,0.04980055160120181,0.0032575370464997446,0.002491057741440981,0.03309615947207252,0.004662749105774144,0.00849514563106796,0.016741967351982166,0.008048032703117016
0.01901901911711712,0.0008942258559018906,0.05179604068523064,0.0032575370464997446,0.002682677567705672,0.03486436082378739,0.0049182422074603984,0.00881451200817578,0.017715413331389554,0.00849514563106796
0.02002002011801802,0.001021972406745018,0.05441677954163152,0.003321410321921308,0.0027465508431272355,0.03689926202586576,0.005620848237097598,0.009261624936126724,0.018609199964912386,0.008686765457332652
0.02102102111891892,0.0010858456821665815,0.0573776983161057,0.0033852835973428716,0.002810424118548799,0.03803152521646126,0.005812468063362289,0.009772611139499234,0.01976000049113333,0.009070005109862033
0.022022022119819823,0.0010858456821665815,0.06035965920469414,0.0034491568727644355,0.0031297904956566172,0.040439505536889485,0.006067961165048544,0.010155850792028616,0.020598064585369568,0.009580991313234543
0.02302302312072072,0.0010858456821665815,0.061633872973731525,0.003513030148185999,0.0032575370464997446,0.04328218795721501,0.006387327542156361,0.01060296371997956,0.021195011826901672,0.009836484414920797
0.024024024121621624,0.0010858456821665815,0.06428751103040899,0.0036407766990291263,0.0036407766990291263,0.04460115801269128,0.00670669391926418,0.010986203372508942,0.021640903163594724,0.010028104241185488
0.025025025122522526,0.0011497189575881452,0.06571670121343422,0.0037685232498722533,0.00370464997445069,0.04602720860657152,0.006962187020950434,0.011433316300459887,0.022135373785638734,0.010283597342871742
0.026026026123423425,0.001341338783852836,0.06867528243717246,0.0038962698007153807,0.0038962698007153807,0.04943014448909368,0.0075370464997445066,0.011880429228410833,0.02291568362485157,0.010539090444557997
0.027027027124324327,0.0014052120592743995,0.0717609505355369,0.004215636177823199,0.004087889626980072,0.05332900489637693,0.00830352580480327,0.012455288707204906,0.023695993464064407,0.010794583546244251
0.02802802812522523,0.0014052120592743995,0.07361181698291348,0.004279509453244763,0.004279509453244763,0.05442794449898352,0.008367399080224835,0.01271078180889116,0.024928582484932866,0.011369443025038324
