p,phat,new_p,new_phat,phat_mc,new_p_mc,new_phat_mc,phat_de,new_p_de,new_phat_de,phat_bs,new_p_bs,new_phat_bs
1e-10,0.0,4.1181181178063065e-10,0.0,0.0,1.6236236235612612e-10,0.0,0.0,1.8908908908018017e-10,0.0,0.0,3.078745411870871e-10,0.0
0.001001001100900901,0.0006387327542156362,0.0023619439167599813,0.0014690853346959632,0.000830352580480327,0.0006242480337326317,0.0005748594787940726,0.003832396525293817,0.0008917828624751879,0.0035769034236075624,0.0002554931016862545,0.0023113706850072546,0.001021972406745018
0.002002002101801802,0.0012774655084312723,0.003081827442739069,0.002043944813490036,0.0017245784363822177,0.0011659976370355675,0.0008942258559018906,0.00900613183444047,0.0013433730411960697,0.005556974961676035,0.0007664793050587634,0.004740977624163152,0.0021078180889115995
0.003003003102702703,0.001980071538068472,0.004181358790732474,0.002874297393970363,0.0022994379151762903,0.0015821628846157472,0.0012774655084312723,0.013668880940214614,0.001733527960802488,0.007153806847215125,0.0012774655084312723,0.009827771201268123,0.004087889626980072
0.004004004103603603,0.002682677567705672,0.005741978469158146,0.0034491568727644355,0.0031936637710781807,0.0019983281321959267,0.0017245784363822177,0.017820643842616248,0.0021410658487813496,0.009772611139499234,0.001660705160960654,0.012484957839217194,0.005748594787940726
0.005005005104504504,0.0031936637710781807,0.007443680139508497,0.004535002554931017,0.0037685232498722533,0.0025176161992696818,0.002043944813490036,0.02401635155850792,0.002586957185474399,0.011688809402146142,0.0021078180889115995,0.014309605153890126,0.006834440470107307
0.006006006105405405,0.0036407766990291263,0.008578147919742063,0.005109862033725089,0.004982115482881962,0.003142281726871516,0.002491057741440981,0.028679100664282066,0.0030328485221674485,0.013668880940214614,0.0024271844660194173,0.017121476083441927,0.00900613183444047
0.007007007106306307,0.004343382728666326,0.009341491979335965,0.005620848237097598,0.005493101686254471,0.004265240645282634,0.0033852835973428716,0.03346959632089934,0.003478739858860498,0.01571282575370465,0.00300204394481349,0.019346173407518985,0.010666836995401123
0.008008008107207207,0.004982115482881962,0.009908990044218028,0.005876341338783853,0.0061957077158916705,0.004711131981975683,0.0036407766990291263,0.0384517118037813,0.003924631195553547,0.017245784363822177,0.0034491568727644355,0.022652616216487127,0.02120592743995912
0.009009009108108108,0.005493101686254471,0.011151917859584698,0.006834440470107307,0.006962187020950434,0.005168717027450596,0.004087889626980072,0.042795094532447626,0.004431608937020428,0.02050332141032192,0.0037685232498722533,0.02387823278755437,0.026060296371997957
0.010010010109009008,0.00600408788962698,0.011932227698797534,0.00740929994890138,0.007920286152273888,0.005648907697735419,0.004662749105774144,0.047777210015329585,0.004951815496495652,0.023760858456821667,0.004151762902401635,0.025252312906805123,0.031106285130301482
0.01101101110990991,0.006515074092999489,0.013098612885010564,0.008239652529381707,0.008367399080224835,0.006129098368020242,0.004982115482881962,0.0530148185998978,0.0059390390074372515,0.028487480838017373,0.004982115482881962,0.02655942592808772,0.03742973939703628
0.012012012110810811,0.0074731732243229435,0.013990395558396665,0.008686765457332652,0.009517118037812978,0.006609289038305065,0.005045988758303525,0.058763413387838526,0.006259948545661656,0.02982881962187021,0.005684721512519162,0.028236945905572543,0.04394481349003577
0.013013013111711711,0.008175779253960144,0.01501975796876589,0.009261624936126724,0.010475217169136432,0.007066570652400003,0.005556974961676035,0.064256515074093,0.00653136066364873,0.03123403168114461,0.0061957077158916705,0.030298066084448665,0.052120592743995914
0.014014014112612614,0.008686765457332652,0.01543592321634607,0.009517118037812978,0.011816555952989269,0.007413375025383487,0.005748594787940726,0.0693663771078181,0.006802772781635803,0.03238375063873276,0.006642820643842616,0.03213457064118981,0.05633622892181911
0.015015015113513514,0.009261624936126724,0.015852088463926252,0.009644864588656106,0.012583035258048032,0.007760179398366969,0.005940214614205417,0.07556208482370975,0.007125860125251009,0.03429994890137966,0.00740929994890138,0.034806578753771196,0.060424118548799186
0.016016016114414416,0.009708737864077669,0.016173664612596925,0.009836484414920797,0.013349514563106795,0.00823070335152951,0.006451200817577925,0.08220490546755238,0.007606050795535831,0.03691875319366377,0.007920286152273888,0.03616612962471202,0.06170158405723045
0.01701701711531532,0.010155850792028616,0.016433767892334538,0.009964230965763925,0.01430761369443025,0.009010790514894099,0.006962187020950434,0.0867399080224834,0.008086241465820654,0.03889882473173224,0.008942258559018906,0.037206542743662474,0.06310679611650485
0.018018018116216217,0.010666836995401123,0.01669387117207215,0.01009197751660705,0.014882473173224322,0.009704399260861061,0.00740929994890138,0.09063617782319877,0.008566432136105475,0.041389882473173226,0.009453244762391415,0.038288739408288655,0.0649591211037302
0.01901901911711712,0.011752682677567705,0.016953974451809763,0.010155850792028616,0.01603219213081247,0.01027862403826833,0.00811190597853858,0.09363822176801226,0.009039570237962386,0.043178334184977005,0.010219724067450179,0.03945420248171352,0.06719468574348493
0.02002002011801802,0.012455288707204906,0.017231992333023017,0.010219724067450179,0.016798671435871233,0.010758814708553152,0.008367399080224835,0.09702350536535513,0.009429725157568805,0.044966785896780784,0.013157894736842105,0.04034309044578799,0.06923863055697496
0.02102102111891892,0.013796627491057742,0.017515741365464046,0.01041134389371487,0.017373530914665303,0.011239005378837975,0.008559018906489526,0.10053653551354114,0.009819880077175224,0.04694685743484926,0.01673479816044967,0.041036699191754955,0.07089933571793562
0.022022022119819823,0.015265712825753704,0.017799490397905078,0.010539090444557997,0.01801226366888094,0.011719196049122797,0.009197751660705161,0.10443280531425651,0.010170030019227115,0.04873530914665304,0.01922585590189065,0.042099108623674046,0.07370975983648441
