p,phat_mc,new_p_mc,new_phat_mc,phat_de,new_p_de,new_phat_de,phat_bs,new_p_bs,new_phat_bs
1e-10,0.0,2.911053910862806e-10,0.0,0.0,2.486375264004405e-10,0.0,0.0,1.6370179702876018e-10,0.0
0.001001001100900901,0.00029795602169119836,0.0015329813070905827,0.00041713843036767775,0.00029795602169119836,0.0015487211599601982,0.00041713843036767775,0.00011918240867647935,0.000637655789551547,0.0
0.002002002101801802,0.0006555032477206364,0.004255841303604873,0.0012514152911030333,0.0004767296347059174,0.0029784541626129936,0.0007150944520588761,0.00029795602169119836,0.0015246844285834748,0.0002383648173529587
0.003003003102702703,0.0010130504737500745,0.0065969017816681986,0.001966509743161909,0.0007150944520588761,0.00430889949389471,0.0008938680650735951,0.00041713843036767775,0.002430437561667231,0.00041713843036767775
0.004004004103603603,0.0011918240867647934,0.009260846085153086,0.0030391514212502234,0.0008342768607353555,0.005951452756568523,0.0009534592694118348,0.0004767296347059174,0.003160004531650876,0.0004767296347059174
0.005005005104504504,0.0015493713127942316,0.012455900107061811,0.004469340325367976,0.0008938680650735951,0.00799542755071844,0.0010130504737500745,0.0006555032477206364,0.003996927540578672,0.0004767296347059174
0.006006006105405405,0.0017877361301471902,0.015559603967752989,0.0054823907991180506,0.0009534592694118348,0.010554598963248483,0.0012514152911030333,0.0008938680650735951,0.005211053479462317,0.0006555032477206364
0.007007007106306307,0.0022644657648531077,0.018747075767530194,0.006674214885882844,0.0010130504737500745,0.012305821805885143,0.0013705976997795126,0.0010130504737500745,0.006264133286376005,0.0008938680650735951
0.008008008107207207,0.0028603778082355045,0.022777532716520322,0.008104403790000596,0.0010130504737500745,0.014141519160737642,0.0014301889041177522,0.0011918240867647934,0.007008197067812514,0.0010130504737500745
0.009009009108108108,0.0030391514212502234,0.025081710053270007,0.008819498242059472,0.0011322328824265539,0.016393771394184978,0.0016089625171324712,0.0013705976997795126,0.007845120076740309,0.0011322328824265539
0.010010010109009008,0.003337107442941422,0.02795254434038005,0.009534592694118348,0.0011918240867647934,0.017572842590506153,0.001668553721470711,0.0014301889041177522,0.008682043085668107,0.0013110064954412728
0.01101101110990991,0.00363506346463262,0.030055247423126617,0.010130504737500745,0.0013110064954412728,0.018733849194506602,0.0017877361301471902,0.0016089625171324712,0.00959181709266559,0.0013705976997795126
0.012012012110810811,0.004230975508015017,0.03178463771933162,0.01108396400691258,0.0013705976997795126,0.020273126208971256,0.001966509743161909,0.0017877361301471902,0.010406645157116213,0.0015493713127942316
0.013013013111711711,0.004767296347059174,0.03441559713858353,0.011858649663309696,0.0013705976997795126,0.021759998499339933,0.002145283356176628,0.001966509743161909,0.011147283612750232,0.001668553721470711
0.014014014112612614,0.005184434777426852,0.038085299495750194,0.013229247363089208,0.0014301889041177522,0.023551880438080746,0.002383648173529587,0.0022644657648531077,0.012103767051524855,0.0017877361301471902
0.015015015113513514,0.00542279959477981,0.04026048123611229,0.013884750610809845,0.0014301889041177522,0.02481214514957035,0.0025028305822060665,0.0025028305822060665,0.013073133411732508,0.001966509743161909
0.016016016114414416,0.005601573207794529,0.04442417919378509,0.015136165901912878,0.0016089625171324712,0.026129933966559608,0.0026220129908825457,0.0028603778082355045,0.014267437482042915,0.0023240569691913475
0.01701701711531532,0.005959120433823967,0.04678268556897437,0.015612895536618794,0.001668553721470711,0.027342729736124154,0.0026816041952207855,0.0029795602169119836,0.015236006941773393,0.0026220129908825457
0.018018018116216217,0.006435850068529885,0.04859041824259034,0.01650676360169239,0.001668553721470711,0.028660793241130172,0.0027411953995590253,0.0032179250342649424,0.01590554534891563,0.0028603778082355045
0.01901901911711712,0.006852988498897563,0.050822093623590615,0.017400631666765986,0.0017877361301471902,0.03076936538809326,0.0028007866038972646,0.003277516238603182,0.01716184003696605,0.0030391514212502234
0.02002002011801802,0.00727012692926524,0.0527650608936218,0.01799654371014838,0.0019069185388236696,0.032627859670601334,0.0029199690125737443,0.003456289851617901,0.018054557913155696,0.0032179250342649424
0.02102102111891892,0.007568082950956439,0.05504253033027026,0.018830820570883738,0.0020856921518383888,0.03430929885722008,0.0030987426255884632,0.0035754722602943803,0.018947275789345346,0.003277516238603182
0.022022022119819823,0.007985221381324117,0.05763320920566614,0.019665097431619094,0.002204874560514868,0.03636526587775517,0.003337107442941422,0.003933019486323818,0.0198986347047077,0.003456289851617901
0.02302302312072072,0.008163994994338836,0.061731651992052994,0.020916512722722127,0.0022644657648531077,0.03820617436898337,0.003515881055956141,0.004111793099338537,0.020604588735843032,0.0035754722602943803
0.024024024121621624,0.008402359811691794,0.06567708885446359,0.022585066444192836,0.0025028305822060665,0.03946088250857906,0.0037542458733090998,0.004290566712353256,0.02133740364900186,0.0037542458733090998
0.025025025122522526,0.008819498242059472,0.0686772863137006,0.023538525713604673,0.0025028305822060665,0.04096016536651618,0.004230975508015017,0.0043501579166914965,0.0222927857431262,0.0039926106906620585
0.026026026123423425,0.00917704546808891,0.0718341969123222,0.024611167391692987,0.0026220129908825457,0.04195708669050118,0.004290566712353256,0.004469340325367976,0.02336395470794542,0.004111793099338537
0.027027027124324327,0.009355819081103629,0.07567026560267837,0.026220129908825458,0.0026816041952207855,0.0429135701292758,0.004469340325367976,0.004767296347059174,0.024038591803877064,0.004290566712353256
0.02802802812522523,0.009594183898456588,0.07917360167124679,0.02735236279125201,0.0027411953995590253,0.04365241924454736,0.004648113938382695,0.004826887551397414,0.025054874333072723,0.0043501579166914965
