p,phat,new_p,new_phat,phat_mc,new_p_mc,new_phat_mc,phat_de,new_p_de,new_phat_de,phat_bs,new_p_bs,new_phat_bs
1e-10,0.0,2.0393727059354356e-10,0.0,0.0,1.8908908908018017e-10,0.0,0.0,4.1181181178063065e-10,0.0,0.0,1.1355703529481003e-10,0.0
0.001001001100900901,0.0007026060296371997,0.0010305602673910147,0.0007026060296371997,0.0012774655084312723,0.0008917828624751879,0.0009580991313234543,0.002618804292284108,0.0018490965680058036,0.005237608584568216,0.0010858456821665815,0.00013570617255057212,0.0
0.002002002101801802,0.0015329586101175269,0.0018108701066038512,0.001341338783852836,0.0025549310168625446,0.0019139929416880177,0.0022355646397547264,0.005812468063362289,0.0026106633289932134,0.0076009197751660705,0.002171691364333163,0.0002714122315441089,0.00012774655084312725
0.003003003102702703,0.0022994379151762903,0.002525715740926145,0.002043944813490036,0.0034491568727644355,0.0027163050709293,0.0029381706693919264,0.008431272355646398,0.0033903489241766008,0.009325498211548287,0.0034491568727644355,0.0004071182905376457,0.0003193663771078181
0.004004004103603603,0.003321410321921308,0.0031652441408455087,0.002491057741440981,0.004662749105774144,0.0033978925486542496,0.0036407766990291263,0.01060296371997956,0.004393382595146337,0.011369443025038324,0.004726622381195708,0.0005428243495311824,0.0005748594787940726
0.005005005104504504,0.004343382728666326,0.0036854507003207327,0.0032575370464997446,0.005684721512519162,0.004016094981217547,0.004662749105774144,0.01322176801226367,0.005801096646232467,0.015201839550332141,0.00530148185998978,0.0006785304085247193,0.0007026060296371997
0.006006006105405405,0.005556974961676035,0.004487971678465251,0.003832396525293817,0.006834440470107307,0.004432260228797726,0.005045988758303525,0.015585079202861523,0.007076646418390713,0.018459376596831886,0.0062595809913132345,0.0008142364675182561,0.000830352580480327
0.007007007106306307,0.006578947368421052,0.0055274781878625655,0.004982115482881962,0.008048032703117016,0.004848425476377906,0.005620848237097598,0.018395503321410323,0.008138869823367954,0.021142054164537558,0.007728666326009197,0.000949942526511793,0.0009580991313234543
0.008008008107207207,0.0075370464997445066,0.006327426471061273,0.005876341338783853,0.009197751660705161,0.005394383533684876,0.0061318344404701075,0.020950434338272865,0.009166657632274934,0.023760858456821667,0.00849514563106796,0.001126607045797795,0.0012135922330097086
0.009009009108108108,0.009325498211548287,0.007022788730868481,0.006578947368421052,0.009964230965763925,0.0060130201607663716,0.006834440470107307,0.023249872253449155,0.009686864191750157,0.02484670413898825,0.009325498211548287,0.0013279773268849787,0.0014690853346959632
0.010010010109009008,0.010028104241185488,0.007803098570081317,0.00740929994890138,0.011369443025038324,0.006359824533749854,0.007281553398058253,0.025485436893203883,0.010272757631964174,0.026251916198262646,0.009964230965763925,0.0015293476079721621,0.001660705160960654
0.01101101110990991,0.011241696474195196,0.008928648590546323,0.009197751660705161,0.012455288707204906,0.006706628906733338,0.007792539601430761,0.02810424118548799,0.010966366377931141,0.02804036791006643,0.010858456821665814,0.001730717889059346,0.001980071538068472
0.012012012110810811,0.012455288707204906,0.009593076720697483,0.009644864588656106,0.013860500766479305,0.00704879066237577,0.008175779253960144,0.030531425651507408,0.011659975123898107,0.029764946346448645,0.011624936126724578,0.0019320881701465295,0.002171691364333163
0.013013013111711711,0.013477261113949923,0.010306173656235786,0.010283597342871742,0.015074092999489013,0.007360914598060903,0.008750638732754216,0.03295861011752683,0.012780548568682897,0.032766990291262135,0.012966274910577414,0.0020887073535547644,0.002363311190597854
0.014014014112612614,0.014690853346959631,0.01122911386624055,0.011688809402146142,0.01628768523249872,0.007673038533746039,0.00900613183444047,0.036280020439448134,0.015091918997784247,0.03979305058763413,0.014371486969851814,0.002221526049590992,0.002491057741440981
0.015015015113513514,0.015968318855390906,0.012232739145993828,0.012646908533469597,0.01711803781297905,0.007985162469431173,0.009197751660705161,0.03960143076136944,0.01686471286347509,0.04535002554931017,0.015329586101175269,0.0023543447456272197,0.002618804292284108
0.016016016114414416,0.017501277465508433,0.013143106603991298,0.013668880940214614,0.018076136944302504,0.008453051642451977,0.009644864588656106,0.04253960143076137,0.01817413030695172,0.04803270311701584,0.015968318855390906,0.0024871634416634473,0.002874297393970363
0.01701701711531532,0.018650996423096575,0.014159304635751872,0.01481859989780276,0.01922585590189065,0.008933242312736801,0.00990035769034236,0.04560551865099642,0.01942262604969226,0.05116249361267246,0.01730965763924374,0.002619982137699675,0.0029381706693919264
0.018018018116216217,0.01960909555442003,0.015051087309137966,0.01603219213081247,0.02063106796116505,0.009666197904842567,0.010858456821665814,0.04758559018906489,0.020485092742600002,0.053845171180378126,0.01890648952478283,0.002752800833735902,0.0031936637710781807
0.01901901911711712,0.020950434338272865,0.01594286998252407,0.017437404190086866,0.021397547266223813,0.010301008532373273,0.011816555952989269,0.04988502810424118,0.021519217134812977,0.05627235564639755,0.019992335206949412,0.0028856195297721297,0.0034491568727644355
0.02002002011801802,0.02210015329586101,0.016536966640820803,0.01820388349514563,0.02261113949923352,0.010821215091848496,0.012263668880940215,0.05275932549821155,0.022954135566986934,0.05972151251916198,0.02152529381706694,0.0030237302680160096,0.003513030148185999
0.02102102111891892,0.023441492079713848,0.01717733769769249,0.019098109351047523,0.023569238630556974,0.01145155849846166,0.013285641287685232,0.05525038323965253,0.024416609020654415,0.06387327542156362,0.022675012774655084,0.00320208680269323,0.0036407766990291263
0.022022022119819823,0.02452733776188043,0.018167817641536257,0.01980071538068472,0.024782830863566682,0.012131851731066845,0.013988247317322433,0.05697496167603475,0.025558424823249548,0.06630045988758304,0.023633111905978537,0.0033804433373704496,0.0038962698007153807
